id,species,margin1,margin2,margin3,margin4,margin5,margin6,margin7,margin8,margin9,margin10,margin11,margin12,margin13,margin14,margin15,margin16,margin17,margin18,margin19,margin20,margin21,margin22,margin23,margin24,margin25,margin26,margin27,margin28,margin29,margin30,margin31,margin32,margin33,margin34,margin35,margin36,margin37,margin38,margin39,margin40,margin41,margin42,margin43,margin44,margin45,margin46,margin47,margin48,margin49,margin50,margin51,margin52,margin53,margin54,margin55,margin56,margin57,margin58,margin59,margin60,margin61,margin62,margin63,margin64,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28,shape29,shape30,shape31,shape32,shape33,shape34,shape35,shape36,shape37,shape38,shape39,shape40,shape41,shape42,shape43,shape44,shape45,shape46,shape47,shape48,shape49,shape50,shape51,shape52,shape53,shape54,shape55,shape56,shape57,shape58,shape59,shape60,shape61,shape62,shape63,shape64,texture1,texture2,texture3,texture4,texture5,texture6,texture7,texture8,texture9,texture10,texture11,texture12,texture13,texture14,texture15,texture16,texture17,texture18,texture19,texture20,texture21,texture22,texture23,texture24,texture25,texture26,texture27,texture28,texture29,texture30,texture31,texture32,texture33,texture34,texture35,texture36,texture37,texture38,texture39,texture40,texture41,texture42,texture43,texture44,texture45,texture46,texture47,texture48,texture49,texture50,texture51,texture52,texture53,texture54,texture55,texture56,texture57,texture58,texture59,texture60,texture61,texture62,texture63,texture64
1,Acer_Opalus,7812,23438,23438,3906,11719,9766,27344,0,1953,33203,13672,19531,66406,0,29297,0,3125,11719,0,25391,23438,1953,0,15625,0,3125,0,13672,29297,15625,11719,3906,25391,0,1953,11719,9766,41016,37109,19531,0,9766,21484,15625,7812,13672,27344,625,0,17578,3125,0,44922,7812,25391,3906,13672,15625,13672,3906,5859,3906,19531,1953,64671,60945,5765,5534,51575,49629,47438,45284,45398,42897,41751,40968,40551,39822,39905,38939,39857,41616,41438,43008,42179,43667,45212,46713,47021,48446,4891,48976,47542,48608,48383,49999,51287,51148,51886,51302,5016,49765,48718,4707,45796,43969,43607,4267,39426,38507,38236,36998,36658,3726,38577,38888,39102,41379,42159,43435,45229,47083,48544,51234,53558,55327,60969,6605,49805,17578,3906,24414,1953,10742,35156,7812,39062,625,0,0,7812,7812,0,0,47852,0,54688,22461,0,977,18555,1953,8789,15625,44922,0,37109,12695,2832,0,19531,26367,5859,0,4883,16602,3418,56641,6836,977,22461,37109,4883,21484,35156,977,4883,15625,0,0,6836,37109,7812,0,293,293,35156,0,0,4883,0,25391
2,Pterocarya_Stenoptera,5859,0,3125,15625,25391,1953,19531,0,0,7812,3906,27344,23438,0,33203,0,9766,9766,7812,7812,19531,7812,0,0,7812,27344,3906,37109,7812,48828,54688,27344,3906,0,0,3906,13672,33203,33203,19531,3125,9766,7812,3125,1953,39062,29297,3125,35156,0,7812,0,46875,46875,29297,9766,17578,7812,13672,19531,0,0,3906,0,74942,69461,7198,70948,68849,66046,62381,58531,55583,53091,50553,48417,46714,45311,4424,4347,43541,43311,44305,46024,47142,48563,51198,53842,567,60459,64376,68698,73141,77748,83219,88429,90166,86166,84172,7829,73129,67913,63886,59633,56019,52754,49597,47412,46162,44696,43426,43348,43533,43631,44743,46355,47893,4963,51774,54563,57398,60783,64104,67412,70265,70739,6884,74675,0,0,7812,79102,0,39062,977,0,27344,3906,0,0,14648,41016,0,0,3906,0,20508,6836,0,1953,26367,20508,50781,1953,21484,3906,27344,23438,625,0,38086,0,19531,0,1953,3906,15625,4883,10449,0,61523,7812,8789,13672,11719,1953,35156,7812,0,0,53711,36133,977,0,0,977,23438,0,0,977,39062,22461
3,Quercus_Hartwissiana,5859,9766,19531,7812,3906,5859,68359,0,0,44922,7812,11719,21484,1953,25391,0,9766,11719,7812,5859,41016,1953,0,15625,0,9766,1953,9766,9766,15625,5859,0,17578,7812,5859,9766,19531,42969,21484,1953,0,5859,15625,9766,11719,11719,3125,10938,0,46875,3125,0,35156,0,10547,0,15625,15625,19531,1953,0,5859,11719,7812,97311,91025,87015,82612,79573,76342,72933,70181,66375,62857,59769,56993,54563,5262,50005,49443,48438,4902,49106,50741,52463,56266,60433,66326,70833,76308,82441,88587,95649,10303,11021,11779,11926,11178,10486,98242,91935,8624,80939,76113,70237,65397,61421,5739,54917,52426,51092,49375,49475,49702,51032,53295,55168,58667,61046,63864,66957,69733,73939,78929,83566,8824,91113,97073,3906,47852,8789,0,97656,5859,3906,10156,32227,0,0,66406,7812,6836,0,0,57617,0,0,27344,0,0,70312,0,977,0,977,3906,35156,15625,27344,0,0,8789,15625,0,0,11719,977,977,0,0,0,5859,22461,20508,21484,56641,10742,8789,0,0,977,0,1543,0,5859,977,7812,0,0,0,20508,293
5,Tilia_Tomentosa,0,3906,23438,5859,21484,19531,23438,0,13672,17578,1953,19531,1953,3906,35156,0,5859,0,1953,3906,39062,9766,0,9766,5859,27344,1953,17578,3906,21484,27344,27344,0,3906,11719,3906,5859,44922,56641,27344,15625,7812,17578,29297,1953,42969,85938,37109,29297,7812,13672,0,52734,3125,37109,17578,3906,0,1953,3906,3906,0,3906,5859,45312,46534,47288,4827,4919,49293,49205,49209,49584,49657,47516,45005,42754,40137,36968,34233,32813,32421,3678,40371,35028,35503,40249,45438,48424,4984,49318,48478,47597,4786,48605,48653,49708,50098,48963,48148,47339,46315,44443,43519,43475,42133,41779,41002,40942,3979,41049,40334,42358,417,42136,43392,4691,52004,5287,48024,44911,43663,43653,43017,42913,43073,43803,44318,23438,977,7812,20508,0,0,13672,4883,6836,95703,15625,0,0,9766,0,0,0,0,3418,12695,0,33203,293,0,5859,19531,12402,0,17578,977,16602,9766,6836,977,5859,0,977,1953,9668,16602,12695,0,36133,55664,0,1953,27344,0,6836,17578,4883,0,6836,22461,0,977,0,0,20508,0,0,17578,0,47852
6,Quercus_Variabilis,5859,3906,48828,9766,13672,15625,5859,0,0,5859,1953,44922,41016,11719,41016,0,9766,15625,11719,7812,21484,0,0,0,15625,9766,1953,17578,41016,5859,21484,13672,17578,0,5859,9766,27344,83984,27344,27344,1953,1953,17578,7812,9766,11719,80078,39062,9766,0,29297,0,23438,21484,3906,17578,15625,1953,41016,5859,0,0,17578,0,68161,59775,5088,3851,29893,33016,42727,53625,64107,64545,59717,58109,62,70857,75318,83917,93519,10141,10222,111,12182,11424,10299,961,96961,88437,81631,74514,66462,69098,66922,59396,4861,41483,34744,37219,47547,50803,57742,64112,63873,51884,48291,60005,71517,80181,88679,81838,79189,90917,10153,1044,10651,9993,97253,86311,88958,91129,8142,68269,59302,62193,73521,75515,39062,36133,3906,3906,46875,0,41016,41016,0,10742,0,18555,0,0,0,0,1953,0,6836,8789,0,0,36133,0,0,0,40039,5859,5859,0,3906,0,0,11035,0,0,0,87891,23438,7812,0,0,8789,17578,21484,61523,26367,13281,0,0,0,0,0,1953,9668,0,21484,0,0,0,0,0,0,3125
8,Magnolia_Salicifolia,70312,9375,33203,1953,0,15234,7812,0,3906,27344,58594,0,625,1953,0,0,27344,3125,3906,21484,1953,1953,0,0,1953,15625,0,0,21484,1953,0,0,3125,0,41016,50781,21484,7812,1953,0,0,15625,7812,5859,9766,0,1953,3906,0,0,37109,0,11719,0,0,0,23438,17578,13672,1953,0,0,50781,1953,39032,34683,32927,29459,32314,27185,23863,29906,36031,32516,29868,29515,26248,25878,33568,27292,24219,27334,27597,31052,34382,32844,27174,23572,28463,30424,32216,32641,38006,43733,38053,31812,25792,18641,13427,97615,78312,64013,11163,17926,13706,20728,28203,29323,34187,39254,44202,5086,43706,389,35349,29048,28834,21683,26,2411,17994,12837,90678,12468,17709,25204,32083,39927,26367,293,9766,0,89844,1953,10742,23438,12695,0,0,22949,293,37109,0,0,977,0,977,14648,0,5859,11719,0,7812,0,0,977,6836,7812,26367,0,0,42969,13672,0,0,51758,0,4883,0,0,977,977,23438,43945,9766,40039,4883,8789,0,0,0,13672,14551,0,41992,0,5859,0,0,0,1953,13672
10,Quercus_Canariensis,21484,3125,17578,9766,1953,42969,39062,0,3906,19531,35156,15625,58594,3906,11719,0,11719,25391,11719,11719,37109,7812,0,9766,7812,5859,3906,3906,3125,1953,5859,1953,19531,0,3906,17578,7812,3125,13672,1953,0,11719,68359,5859,25391,5859,29297,46875,0,56641,13672,0,19531,0,13672,7812,5859,29297,41016,11719,3906,1953,13672,1953,92122,96232,89983,83692,79877,76871,72488,71135,68854,6658,64303,62544,61305,60018,60294,60591,58928,58908,59697,62032,61267,64861,66447,67424,65519,67749,68842,70044,74827,76623,80003,81907,87062,8619,83066,78746,76235,72646,71041,67617,64484,61628,62262,61647,61891,62396,60952,59374,61235,60529,607,62123,63712,64791,66255,67309,69818,72732,74631,76671,78596,8053,8272,86023,3906,24414,13672,0,78125,3125,7812,53711,10742,0,0,5859,27344,5859,0,1953,46875,0,3906,2832,0,1953,82031,1953,1953,0,4883,14648,1953,27344,977,0,0,25391,14648,0,0,38086,0,0,0,10742,12695,23438,1084,30273,26367,41016,8789,0,0,0,0,0,85938,0,40039,0,9766,0,0,0,39062,3906
11,Quercus_Rubra,0,0,37109,50781,3906,0,3906,0,48828,3906,1953,5859,7812,3125,5859,0,0,9766,3125,3906,52734,5859,0,1953,11719,7812,17578,23438,99609,9766,11719,1953,3906,0,0,9766,17578,56641,5859,1953,3906,33203,3906,5859,83984,0,33203,1953,19531,29297,7812,5859,5859,9766,0,1953,3906,17578,76172,15625,0,15625,15625,23438,77608,75474,7276,72815,77236,80036,82546,86212,90742,96678,10309,11021,11834,12618,13509,14419,15023,15632,1683,17944,18031,16832,1572,14758,13883,12899,1201,11151,10361,9762,9117,8547,79578,75314,72837,71572,71223,7371,7769,81475,86339,92543,96928,10331,11127,11928,12783,13746,14684,15727,16892,17562,17214,1607,14976,13843,12818,11839,11007,10436,10029,9378,86483,81063,18555,0,36133,0,52734,0,11719,20508,977,0,14648,33203,13672,11719,0,6836,0,3906,1953,13672,17578,27344,0,977,7812,977,8789,30273,21484,29297,19531,64453,0,19531,23438,51758,0,9766,9766,3906,0,22461,11719,1953,293,17578,19531,74219,14648,17578,21484,19531,293,5859,38086,25391,9766,293,21484,0,37109,6836,293,36133
14,Quercus_Brantii,5859,1953,33203,15625,1953,0,23438,0,0,21484,7812,33203,11719,3906,3125,0,11719,23438,5859,9766,72266,5859,0,0,9766,25391,0,11719,11719,9766,11719,0,19531,0,7812,1953,15625,33203,21484,7812,1953,11719,3125,3906,9766,11719,70312,10938,9766,48828,17578,0,46875,9766,19531,15625,7812,15625,25391,0,0,0,25391,0,1085,11579,10946,10115,93595,89351,84652,79856,75573,71264,66963,6226,57936,53739,50191,46774,44921,44799,45697,46933,5009,53992,58302,63084,68161,74078,80409,86919,94087,10113,10852,11551,12314,11985,11245,10552,98731,9185,85348,79052,73153,67257,62111,57407,52931,48694,46125,45199,44555,45289,47229,49704,52925,57063,61678,66462,71638,76482,81468,84957,88176,91839,95095,1001,32227,4883,4883,19531,0,11719,94727,1953,3418,20508,0,0,11719,9766,0,0,8789,0,10547,11719,0,977,6836,3906,21484,1953,46875,3906,6836,12695,2832,0,977,4883,6836,0,0,14648,75195,41016,7812,977,32227,17578,19531,12695,23438,0,13672,1953,0,0,3906,82031,0,0,8789,0,17578,0,0,977,33203,74219
15,Salix_Fragilis,0,0,9766,37109,72266,0,0,0,7812,1953,0,29297,0,3906,625,0,5859,0,23438,0,1953,0,0,0,1953,19531,0,35156,1953,35156,27344,0,0,0,0,0,3906,83984,44922,625,89844,7812,1953,35156,3906,78125,37109,7812,9766,0,0,0,25391,87891,0,5859,3906,0,13672,15625,1953,0,0,1953,40565,4607,51693,54202,48489,43194,41847,41127,36602,32135,26378,21461,2046,2303,27261,31044,32939,32335,26549,20829,14958,1218,17776,24325,3052,33105,3776,36948,31919,26715,2803,33636,38087,40397,45902,44762,40227,34647,31237,34772,38952,33453,27997,20825,14463,14482,19891,25901,31685,35111,32107,28075,29501,2764,22042,17241,15336,1936,24856,29462,33158,39385,37636,37307,0,7812,0,4883,0,33203,0,0,41016,0,58594,0,0,0,16699,0,33203,0,293,3906,0,1953,0,5859,977,9375,0,0,24414,1953,1953,0,6836,0,0,0,37109,0,0,1953,0,0,0,0,0,0,0,0,20508,41992,35156,0,22461,0,0,0,0,70312,13672,19238,0,74219,0,0
